Group,X,Y,Z,Eta,TTH
1,0.40554,0.32778,1.94589,38.94707241,15.00118073
2,0.51947,0.01247,1.70684,1.375134615,16.93201712
3,0.48334,-0.18902,1.74678,-21.35900041,16.54720662
4,-0.83662,-0.09422,1.44169,-173.5744336,30.28379756
5,-0.82544,0.16182,1.44169,168.9083478,30.26136797
6,0.19139,0.81987,1.29881,76.86021185,32.95205356
7,0.21777,0.81248,1.63219,74.99561546,27.26457358
8,0.58952,0.60107,1.48931,45.55581308,29.47967816
9,0.82157,0.18044,1.31469,12.38710179,32.61151018
10,0.83979,-0.04791,1.44962,-3.265183563,30.12484998
11,0.79572,-0.27271,1.37819,-18.91766717,31.39708716
12,0.55944,-0.62916,1.42581,-48.35696596,30.56098549
13,0.15109,-0.82824,1.17975,-79.6616142,35.51290121
14,-0.99554,-0.00112,0.20989,-179.9355413,78.0946723
15,-0.99405,-0.02848,0.78139,-178.3588979,51.84169682
16,0.8217,0.55957,0.67027,34.2544964,56.01126101
17,0.93293,0.34439,0.25752,20.26156487,75.48198749
18,0.91264,0.3953,0.70996,23.41931915,54.47944256
19,0.97185,0.2169,0.26546,12.58123264,75.07266599
20,0.97185,0.2169,0.67821,12.58123264,55.7413074
21,0.99427,-0.02445,0.17814,-1.408671221,79.84528933
22,0.99427,-0.02445,0.74964,-1.408671221,52.99348542
23,0.96577,-0.23761,0.20196,-13.8220502,78.52144469
24,0.95844,-0.26401,0.74964,-15.40064679,52.98147812
25,0.89211,-0.43967,0.25752,-26.23605151,75.48344318
26,0.89211,-0.43967,0.71789,-26.23605151,54.17790044
27,0.759,-0.64205,0.28927,-40.22840505,73.77627872
28,0.759,-0.64205,0.67027,-40.22840505,56.01125735
29,-0.84639,0.13604,-0.78088,170.8689633,132.3306863
30,-0.93205,0.1419,-0.40153,171.3434746,113.0689377
31,0.5915,0.60351,-0.83507,45.57581037,134.6599235
32,0.67224,0.65973,-0.40073,44.46188794,113.0475517
33,0.74241,0.42862,-0.78088,29.99938568,132.3305932
34,0.82387,0.45289,-0.40847,28.7980579,113.4837847
35,0.87754,0.20032,-0.58653,12.85883217,123.0889786
36,0.87107,-0.04578,-0.7104,-3.008472052,129.1602218
37,0.95498,-0.04004,-0.3388,-2.400867172,109.5174015
38,0.8127,-0.27624,-0.77233,-18.77310386,131.9799038
39,0.90404,-0.26749,-0.40153,-16.48258601,113.0690956
40,0.70803,-0.48526,-0.77233,-34.42543108,131.9800213
41,0.79679,-0.50067,-0.40927,-32.14356139,113.5049578
42,-0.06925,-0.25,-0.67435,-105.4827315,158.9588995
43,-0.06925,0,-0.67435,180,174.1367643
44,-0.17885,-0.36719,-0.67435,-115.9696728,148.7981323
45,-0.17885,-0.125,-0.67435,-145.0499271,162.0697404
46,-0.28845,-0.36719,-0.67435,-128.1517821,145.3001848
47,-0.28845,-0.125,-0.67435,-156.570471,155.0059128
48,-0.28845,0.125,-0.67435,156.570471,155.0059128
49,-0.28845,0.38281,-0.67435,126.9982791,144.5952806
50,-0.17885,0.125,-0.67435,145.0499271,162.0697404
51,-0.17885,0.38281,-0.67435,115.0421249,147.9298788
52,-0.04745,0.14018,-0.68591,108.7006189,167.8244191
53,-0.04745,0.38509,-0.68591,97.02446123,150.5042317
54,0.07539,-0.35938,-0.67999,-78.15240654,151.6304418
55,0.06221,-0.13281,-0.68376,-64.90097292,167.8941843
56,0.04904,0.00781,-0.68752,9.048805801,175.86883
57,0.04904,0.25781,-0.68752,79.23000011,159.1076857
58,0.14995,0.125,-0.67435,39.81496569,163.8547789
59,0.14995,0.38281,-0.67435,68.60929014,148.6306039
60,0.20475,-0.36719,-0.67435,-60.85538445,148.0588777
61,0.20475,-0.125,-0.67435,-31.40409076,160.4176843
62,0.25955,0.125,-0.67435,25.71559519,156.867854
63,0.25955,0.38281,-0.67435,55.86223509,145.555677
64,0.288,-0.375,-0.68187,-52.47573739,145.2613024
65,0.288,-0.125,-0.68187,-23.46218279,155.2769891
